Sentence	B	W	A	H	Abs
Phoenix is in the midst of a six - game road trip .	0	0	1	0	PROPN-PERSON NUM-CARDINAL X-CARDINAL_COMPARISON SYM-PERCENT NOUN-ORG X-CARDINAL_COMPARISON NUM-CARDINAL PROPN-PERSON NUM-CARDINAL X-CARDINAL_COMPARISON NOUN-ORG X-CARDINAL_COMPARISON SYM-CARDINAL NUM-CARDINAL X-CARDINAL_COMPARISON PROPN-QUANTITY NUM-CARDINAL PUNCT-.
The Phoenix Suns ( 8 - 5 ) defeated the Philadelphia 76ers ( 0 - 12 ) 122 - 96 on Friday .	1	1	0	0	PROPN-ORG DET-ORG PROPN-ORG PROPN-DATE PROPN-ORG DET-ORG PROPN-ORG PROPN-DATE PUNCT-.
For the Raptors , Kyle Lowry went 6 - for - 20 from the field and 2 - for - 4 from the three - point line to match a team - high of 16 points , while also recording six rebounds and four assists .	1	1	0	0	
The Clippers shot 49 percent from three - point range , while the Celtics shot 26 percent .	1	0	0	0	
Giannis Antetokounmpo struggled , scoring only 10 points on 3 - of - 13 shooting .	1	1	0	0	
The Wizards shot 46 percent from the field , compared to Milwaukee ’ s 43 percent .	1	1	0	0	
The Heat 's next game will be on the road against the Los_Angeles Lakers on Tuesday , while the Clippers will travel to Portland to play the Trail_Blazers on Wednesday .	0	0	1	0	
They just did n't have the scoring balance to keep it close .	0	1	0	0	
The Clippers bench had a very poor showing , contributing only15 points .	0	1	0	0	
J.J. Redick was the other Clipper to reach double figures in points with 14 ( 6 - 10 FG , 2 - 4 3Pt ) of his own .	1	1	0	0	
This marked the first time over his last four games failing to surpass the 10 assist mark .	0	0	1	0	
He nearly posted a double - double , as he finished with 23 points ( 9 - 17 FG , 3 - 8 3Pt , 2 - 2 FT ) and nine assists .	1	1	0	0	
Chris Paul also found a lot of success against the Heat .	0	1	0	0	
He 's had a very strong week , averaging 25 points and eight rebounds per game over his last four games .	0	0	1	0	
He went 10 - for - 19 from the floor and 1 - for - 3 from the three - point line to score a team - high of 26 points .	1	1	0	0	
The Clippers were led by Blake Griffin in this game .	0	1	0	0	
The only other Heat player to reach double figures in points was Luol Deng , who had 10 points ( 4 - 9 FG , 2 - 5 3Pt ) .	1	1	0	0	
He 's received more playing time lately and has cashed in with four straight double - digit point performances , despite not recording one at any other time in the season .	0	0	1	0	
He went 10 - for - 13 from the field for 23 points , while adding 16 rebounds , two steals and two blocked shots in 28 minutes .	1	0	0	0	
In another surprise performance , the Heat received a huge contribution from Hassan Whiteside off of the bench .	0	1	1	0	
It was only his third double - double so far this year .	0	0	1	0	
Wade on the other hand recorded 17 points ( 5 - 15 FG , 0 - 2 3Pt , 7 - 9 FT ) and 10 assists .	1	0	0	0	
The 34 points matched a season - high for him , pushing his season average to 22 points per game .	0	0	1	0	
Bosh led all scorers , going 13 - for - 20 from the field and 2 - for - 5 from the three - point line to score 34 points , while also adding seven rebounds .	1	1	0	0	
The Heat 's duo of Chris Bosh and Dwyane Wade were again a big reason for their success .	0	1	0	0	
The Heat out - rebounded the Clippers 46 - 27 , which gave them just enough of an advantage to secure the victory .	0	1	0	0	
They got it done on the defensive side of the ball in the second half , allowing them to secure the road win .	0	1	0	0	
The Heat had a strong first half in this one , out - scoring the Clippers 62 - 53 to give them a nice lead heading into the third quarter .	0	1	0	0	
The Miami Heat ( 16 - 21 ) defeated the Los_Angeles Clippers ( 25 - 13 ) 104 - 90 on Sunday at the Staples_Center in Los_Angeles .	1	1	0	0	
Ersan Ilyasova ( concussion ) and John Henson ( foot ) remain out , and it seems Ilyasova may be closer to returning than Henson .	0	1	0	0	
Larry Sanders returned to the starting lineup after sitting out Thursday 's game on a league mandated one - game suspension .	0	0	1	0	
He played over 37 minutes for the second straight game Saturday , which is ten more minutes than his season average of 27 minutes per game .	0	0	1	0	
In the three games since Jabari Parker went down with a season - ending ACL injury , coach Jason Kidd has cut the umbilical cord they had on Giannis Antetokounmpo .	0	0	1	0	
Even with the loss , Milwaukee finished their four - game Western_Conference road trip 2 - 2 , a job well done by the developing squad .	0	0	1	0	
The Clippers have a tough stretch of their schedule coming up with the Spurs , Hawks , Warriors and Raptors all on this week 's docket .	0	0	1	0	
DeAndre Jordan continued his impressive work on the boards , pulling down 16 rebounds , and Blake Griffin and J.J. Redick joined Paul in scoring over 20 points .	1	0	1	0	
Chris Paul paced the team with a game - high 27 points and nine assists .	1	1	0	0	
Los_Angeles has won three of their last four games .	0	0	1	0	
The Los_Angeles Clippers ( 19 - 8 ) defeated the Milwaukee Bucks ( 14 - 14 ) 106 - 102 on Saturday .	1	1	0	0	
The Suns ' next game will be at home against the Miami Heat on Tuesday , while the Clippers will travel to Indiana to play the Pacers on Wednesday .	0	0	1	0	
Their was a nice bench presence as well , with Alex Len , Gerald Green and Marcus Morris all reaching double figures in points .	0	1	0	0	
Both Markief Morris and Goran Dragic also had big games , with Morris contributing 21 points and seven rebounds , and Dragic having 17 points and eight assists .	1	1	0	0	
He has been on fire offensively of late , so we 'll see if he can continue with that type of production .	0	0	1	0	
The points , assists and rebounds were all season - highs for Bledsoe , who notched his first triple - double of the year .	0	0	1	0	
Bledsoe was able to convert on a perfect 9 - of - 9 from the free throw line as well .	1	0	0	0	
He shot 8 - for - 16 from the field and 2 - for - 6 from beyond the arc to score 27 points , while also adding 16 assists , 11 rebounds and two blocks .	1	0	0	0	
For the Suns , Eric Bledsoe exploded for a monster line Monday .	0	1	0	0	
J.J. Redick chipped in 17 points as well .	1	0	0	0	
It was the fifteenth time in his last sixteen games that he 's recorded at least 11 rebounds .	0	0	1	0	
DeAndre Jordan also recorded a double - double of his own , with 10 points and 14 rebounds .	1	1	0	0	
It marked his third double - double in a row and eleventh on the year .	0	0	1	0	
Chris Paul scored 20 points ( 8 - 23 FG , 1 - 9 3Pt , 3 - 4 FT ) , while also recording 10 assists .	1	0	0	0	
Griffin did have some help though .	0	1	0	0	
He 's now combined for 75 points in the last two games and is on a scoring tear .	0	0	1	0	
He was able to get to the free throw line at will , and finished the game making 15 - of - 17 .	1	1	0	0	
Griffin was a force tonight , as he went 14 - for - 24 from the field and 2 - for - 2 from the three - point line to score a season - high of 45 points .	1	1	1	0	
Although they were n't able to seal the win at the end of regulation , the Clippers still got the last laugh , as Blake Griffin capped off his spectacular night with a three - point dagger at the buzzer .	0	1	0	0	
He barely got the shot off , but it did n't matter , as Eric Bledsoe got a hand on it , therefore pushing the game to overtime .	0	1	0	0	
With the game tied at the end of the fourth quarter , Chris Paul was chosen to take the final shot .	0	1	0	0	
The Los_Angeles Clippers ( 15 - 5 ) defeated the Phoenix Suns ( 12 - 10 ) 121 - 120 on Monday at the Staples_Center in Los_Angeles .	1	1	0	0	
The Pelicans will stay in Los_Angeles to play the Los_Angeles Lakers on the second game of their back - to - back set .	0	0	1	0	
Anthony Davis finished with 26 points but corralled just three rebounds .	1	0	0	0	
Gal Mekel made his Pelicans debut , dishing six assists in just 11 minutes of action off the bench .	1	0	1	0	
New_Orleans has dropped five of their last six games , reeling due to the absence of Eric Gordon , or simply a lack of cohesion on a team that is starting to appear as though it will fail to meet expectations for a second straight season .	0	0	1	0	
They 'll stay home to host the Phoenix Suns on Monday .	0	0	1	0	
As a team , the Clippers shot 55 percent from the field and 53 percent from beyond the three - point line .	1	0	0	0	
Chris Paul displayed his scoring and dishing talents , finishing with 18 points and 16 assists in 30 minutes .	1	1	0	0	
Blake Griffin led the way with a game - high 30 points in 30 minutes .	1	1	0	0	
Los_Angeles has won seven straight games , coasting through arguably the easiest stretch of their schedule this season .	0	0	1	0	
The Los_Angeles Clippers ( 14 - 5 ) defeated the New_Orleans Pelicans ( 8 - 10 ) 120 - 100 on Saturday .	1	1	0	0	
The Clippers remain home and will face the Magic , also on Wednesday .	0	0	1	0	
Up next , the Timberwolves play host to the winless 76ers on Wednesday .	0	0	1	0	
Spencer Hawes provided a solid 20 minutes off the bench , knocking down four threes en route to 14 points , four rebounds and two assists .	1	1	0	0	
J.J. Redick added 23 points of his own , and DeAndre Jordan had an 11 - point , 13 rebound double - double .	1	1	0	0	
The Clippers were led by 23 points and eight rebounds from Blake Griffin , who converted 8 - of - 14 field goal attempts .	1	1	0	0	
Minnesota shot just 43 percent as a team and was out - rebounded 50 - 32 .	1	1	0	0	
Robbie Hummel and Zach Lavine had 13 and 10 points , respectively , while Andrew Wiggins was the only starter in double - figures with 14 .	1	1	0	0	
The Wolves were led Monday by second - year swingman Shabazz Muhammad , who scored 18 points to go with 10 rebounds and four assists in 27 minutes off the bench .	1	1	0	0	
It was the second loss in as many nights for the Timberwolves , who fell to Portland 107 - 93 on Sunday .	0	0	1	0	
The Clippers ( 12 - 5 ) extended their winning streak to five games Monday night , knocking off the Timberwolves 127 - 101 at the Staples_Center .	1	1	1	0	
The Bulls ' will stay on the road as their next game will be in Sacramento on Thursday , while Los_Angeles will travel to Orlando to face the Magic on Wednesday .	0	0	1	0	
The NBA 's leading rebounder , DeAndre Jordan , continued to clean up the glass , as he collected 17 rebounds , while also adding 10 points ( 5 - 6 FG ) .	1	1	0	0	
While Griffin was the better all - around player , Clippers sixth man Jamal Crawford lead the entire team with 24 points ( 10 - 17 FG , 1 - 5 3Pt , 3 - 5 FT ) , while also dishing out five assists .	1	1	0	0	
The Los_Angeles Clippers were lead by potential MVP candidate Blake Griffin , who had a 19 point ( 7 - 15 FG , 5 - 10 FT ) , 10 rebound double - double performance .	1	1	0	0	
Coming off the bench , rookie forward Nikola Mirotic had an extremely solid performance , as he had 11 points ( 5 - 10 FG , 1 - 4 3Pt ) , while also grabbing seven rebounds .	1	1	0	0	
While he only had 11 points ( 5 - 8 FG ) , Joakim Noah was able to make a tremendous impact as he had a season - high 16 rebounds and six assists .	1	1	1	0	
The Chicago Bulls had all five starters score in double - digits , with Jimmy Butler leading the way scoring 22 points ( 6 - 17 FG , 1 - 4 3Pt , 9 - 10 FT ) , while also contributing six rebounds and a game - high eight assists .	1	1	0	0	
As the game transitioned to the second half , Chicago 's offense heated up as they shot an outstanding 59 percent until the end of the game , while Los_Angeles only shot 44 percent .	0	1	0	0	
Despite the double - digit victory , Chicago trailed Los_Angeles 50 - 48 going into halftime .	0	1	0	0	
Meanwhile , Los_Angeles is now tied with New Orleans for the eigth seed in the Western_Conference .	0	0	1	0	
With their victory over Los_Angeles , Chicago moves within a half game of the Eastern_Conference leading Toronto Raptors .	0	0	1	0	
The Chicago Bulls ( 8 - 3 ) defeated the Los_Angeles Clippers ( 5 - 4 ) 105 - 89 on Monday at the Staples_Center in Los_Angeles .	1	1	0	0	
Phoenix began a six - game roadtrip Saturday , and their next game will be against the Celtics in Boston on Monday .	0	0	1	0	
The Suns shot 38 percent from the field , while the Clippers converted 53 percent of their shots , a statistic that tells the game story simply .	1	1	0	0	
Phoenix was playing the second night of a back - to - back , coming off a loss at home to the Charlotte Hornets .	0	0	1	0	
Los_Angeles will host the Chicago Bulls on Monday before embarking on a seven - game roadtrip .	0	0	1	0	
Both players played 27 minutes and were positive contributors in plus/minus .	0	1	0	0	
Matt Barnes was moved back into the starting lineup at small forward , and Jamal Crawford moved back to a bench role .	0	1	0	0	
They began the season with a two - game win streak , but since then , the Clippers have recorded wins and losses like coin flips .	0	0	1	0	
Los_Angeles has been trading wins for losses lately .	0	0	1	0	
The Los_Angeles Clippers ( 5 - 3 ) defeated the Phoenix Suns ( 5 - 5 ) 120 - 107 on Saturday .	1	1	0	0	
The Clippers finish off a back - to - back set to start the season on Friday when they play Lakers .	0	0	1	0	
It was expected Hawes might carve out a big enough role to steal some minutes from starters Blake Griffin and DeAndre Jordan , but that was n't the case in the opener as Hawes played just 19 minutes off the bench , while Griffin played 38 and Jordan played 35 .	1	0	1	0	
Spencer Hawes was brought in this offseason to help shore up the Clippers ' frontcourt depth by giving them a versatile shooter off the bench .	0	0	1	0	
The Clippers could n't create much separation from Oklahoma_City despite all of the injuries the Thunder are dealing with .	0	0	1	0	
They may only have eight healthy players for their next game if no one returns to action Saturday against the Denver Nuggets .	0	0	1	0	
In addition to Durant , the Thunder are also dealing with injuries to Anthony Morrow , Mitch McGary , Jeremy Lamb , Grant Jerrett , and Reggie Jackson .	0	0	1	0	
With Kevin Durant already sidelined due to foot surgery for at least the first month of the season , the Thunder are in danger of digging a hole to start their season that may be too deep to crawl out of and reach the playoffs in the Western_Conference .	0	0	1	0	
It is unclear how long Westbrook will be out with the injury , but some reports suggested he could miss a few as two weeks .	0	0	1	0	
Russell Westbrook left the game in the first quarter with a broken right hand and did not return to the game .	0	1	0	0	
The Los_Angeles Clippers defeated the Oklahoma_City Thunder ( 0 - 2 ) 93 - 90 on Thursday at the Staples_Center in Los_Angeles .	1	1	0	0	
The Celtics will close out the regular season on the road against the Milwaukee Bucks on Wednesday , while the Raptors will be at home against the Charlotte Hornets on Wednesday .	0	0	1	0	
Jonas Valanciunas nearly came up with a double - double , posting 10 points ( 4 - 8 FG , 2 - 4 FT ) , eight rebounds and two blocked shots , while Greivis Vasquez chipped in with 11 points ( 4 - 7 FG , 3 - 6 3Pt ) , five rebounds and seven assists .	1	1	0	0	
Williams continues to be a great offensive option off the Raptors ' bench , averaging 21 points over his last six games .	0	0	1	0	
Despite struggling with his shot similar to Lowry , Louis Williams still posted 16 points ( 3 - 13 FG , 0 - 4 3Pt ) , as he was able to get to the free throw line 11 times , while converting on 10 - of - 11 .	1	0	1	0	
Lowry has really struggled with his shot lately , combining to go just 9 - for - 34 from the field over his last two games , so he really needs to get things turned around if the Raptors want to have some success in the playoffs .	0	0	1	0	
Bass finished with 13 points ( 4 - 11 FG , 0 - 1 3Pt , 5 - 5 FT ) and nine rebounds , while Zeller added 12 points ( 5 - 11 FG , 2 - 2 FT ) and eight rebounds .	1	0	0	0	
Brandon Bass and Tyler Zeller were the other two starters in double figures .	0	1	0	0	
He 'll likely sit Wednesday 's finale out in order to get healthy for their first playoff matchup .	0	0	1	0	
Bradley recorded 14 points ( 5 - 11 FG , 1 - 5 3Pt , 3 - 3 FT ) of his own , to go along with three rebounds and two assists , but he ended up suffering a left quad contusion and was forced to leave the game .	1	1	0	0	
He 's combined for 29 points and 14 assists over his last two games , and he 'll need to continue to play well if the Celtics want any chance at pulling off an upset during the playoffs .	0	0	1	0	
It was n't all good for the forward though , as he did record seven turnovers as well .	1	1	0	0	
Turner nearly came out with a triple - double , finishing with 14 points ( 7 - 14 FG ) , seven rebounds and nine assists .	1	1	0	0	
It was the duo of Avery Bradley and Evan Turner that had the biggest impact in securing the win Tuesday .	0	1	0	0	
The Raptors , on the other hand , moved down into the fourth seed in the East , a game behind the Chicago Bulls , which would mean they could end up playing the fiffth - seeded Washington Wizards in their first playoff matchup .	0	0	1	0	
It was a solid victory for the Celtics , as they 're now going to go into the playoffs as the seventh seed in the Eastern_Conference standings , meaning they 'll take on the Cleveland Cavaliers during the first round .	0	1	1	0	
It was the Celtics who came out with the last laugh though , as Jae Crowder hit a clutch jump shot with just under a second left in regulation to pull out the victory .	0	1	0	0	
Down two points with just over 10 seconds left in the game , Kyle Lowry brought the Raptors back to tie the Celtics after a driving layup .	0	1	0	0	
The Boston Celtics ( 39 - 42 ) defeated the Toronto Raptors ( 48 - 33 ) 95 - 93 on Tuesday at the TD_Garden in Boston .	1	1	0	0	
The Clippers have finished the season 3 - 1 against the Celtics .	0	0	1	0	
However , they ’ re only a half - game behind the eighth - place Nets .	0	0	1	0	
Boston has lost five of its last seven and is currently ninth in the Eastern_Conference .	0	0	1	0	
The Clippers are fifth in the Western_Conference and have clinched a playoff birth .	0	0	1	0	
Kelly Olynyk had 14 points ( 6 - 11 FG , 1 - 3 3Pt ) , five rebounds , two assists and one steal in 22 minutes .	1	0	0	0	
Tyler Zeller had 16 points ( 7 - 12 FG ) and five rebounds in 21 minutes .	1	0	0	0	
However , it appears he ’ s shaken off the rust , scoring a combined 37 points off the bench in his last two games .	0	0	1	0	
Thomas ( back ) only scored four points against the Heat on Wednesday after an eight - game absence .	1	0	1	0	
Thomas went 4 - for - 12 from the field and 2 - for - 7 from three - point range in 26 minutes of play .	1	0	0	0	
The Celtics ’ Isaiah Thomas came off the bench to lead the team in scoring with 19 points .	1	1	0	0	
DeAndre Jordan had 15 points ( 6 - 8 FG ) , 14 rebounds and one steal in 29 minutes .	1	0	0	0	
Paul went 3 - for - 4 from three - point land and contributed three rebounds , 10 assists , two steals and one block in 35 minutes .	1	0	0	0	
The Clippers ’ Blake Griffin and Chris Paul each had 21 points .	0	1	0	0	
And the Clippers pulled down 13 more boards than the Celtics over the course of the game .	0	1	0	0	
The Clippers went to the line almost twice as much as the Celtics , attempting 40 free throws compared to Boston ’ s 23 .	1	1	0	0	
At halftime they led by 21 points , and , going into the fourth quarter , they were up 105 - 79 .	0	1	0	0	
The Clippers never gave up the lead .	0	1	0	0	
That was the story all night long , as Redick finished with a team - high 27 points , going 5 - for - 6 from beyond the arc in 33 minutes .	1	1	0	0	
The Clippers ’ J.J. Redick scored the first points of the game , knocking down a three - point jumper on Los_Angeles ’ first possession .	0	1	0	0	
The Clippers ( 49 - 25 ) defeated the Celtics ( 32 - 41 ) 119 - 106 at TD_Garden on Sunday .	1	1	0	0	
Up next , the Pistons will head home Tuesday to take on the Raptors , while Boston will travel to Brooklyn and play the Nets on Monday .	0	0	1	0	
While they do hold the tiebreaker , Boston is now playing down the final stretch of the season where every game is crucial .	0	0	1	0	
The loss was a costly one for the Celtics , as the loss brings them into a tie for the eighth spot in the Eastern_Conference with the Pacers and Hornets .	0	1	1	0	
Brandon Bass ( 13 ) and Tyler Zeller ( 10 ) round out the starters in double figures while Jonas Jerebko scored 10 points in 21 minutes off the bench .	1	1	0	0	
Marcus Smart served his one - game suspension and Avery Bradley took over the starting point guard duties as a result , but he had just 10 points on 3 - of - 10 shooting , four assists and four rebounds in 38 minutes .	1	1	1	0	
Jae Crowder was next up , scoring 19 points on 7 - of - 16 shooting and seven rebounds in 45 minutes .	1	1	0	0	
They were lead by Evan Turner , who posted 23 points on 10 - of - 21 shooting , eight assists , six rebounds and three steals .	1	1	0	0	
All five Celtics starters scored in double figures , but that just was not enough .	0	1	0	0	
The wins gives the Pistons their second in a row , but the team still remains far on the outside looking into the Eastern_Conference playoff race , sitting 5 games behind the Celtics for the eighth and final playoff spot .	0	0	1	0	
Greg Monroe sat out for the fourth straight game with a knee injury , and Anthony Tolliver took his place in the starting lineup , scoring zero points in 25 minutes .	1	1	1	0	
Also in the backcourt , Jackson recorded his fourth straight double - double and nearly his second triple - double in three games , posting 17 points on 5 - of - 13 shooting , 11 assists and nine rebounds in 37 minutes .	1	0	1	0	
Kentavious Caldwell-Pope also had a huge game , scoring 27 points on 10 - of - 20 shooting and grabbing eight rebounds in 44 minutes .	1	1	0	0	
It was the 21 - year - old 's first double - double in three games , but his sixth in the month of March .	0	0	1	0	
The Pistons were led by another huge double - double from Andre Drummond , who posted 18 points on 8 - of - 17 shooting , 22 rebounds and four blocks in 40 minutes .	1	1	1	0	
The Pistons then opened up the period on a 70 run and the Celtics were unable to recover after that , as Detroit went onto win 17 - 9 in overtime .	0	1	0	0	
A short shot by Reggie Jackson tied the game at 88 with just under a minute remaining and neither team was able to score after that .	0	1	0	0	
The Detroit Pistons ( 26 - 44 ) defeated the Boston Celtics ( 30 - 39 ) 105 - 97 in overtime on Sunday in Boston .	1	1	0	0	
Boston will kick off a three - game road swing Friday in New_Orleans .	0	0	1	0	
Kelly Olynyk returned to action Wednesday , but his impact was minimal as he finished with a rebound and an assist in seven minutes of action .	1	1	0	0	
Isaiah Thomas was effective off the bench again , posting his fifth 20 - point performance as a Celtic .	0	1	1	0	
Boston did n't let Tuesday 's blowout loss to Cleveland bleed into Wednesday as it notched a tough win against a resurgent Utah club .	0	0	1	0	
The Jazz will look to bounce back Friday in Philadelphia .	0	0	1	0	
Rudy Gobert was dominant on the glass once again , pulling down 16 rebounds to go with 10 points .	1	1	1	0	
It looked like the Jazz were going to escape with the win after Hayward 's jumper , but the Celtics drew up the right play and Zeller sunk the game winner .	0	1	0	0	
Utah is now 5 - 2 since the All-Star break after suffering Wednesday 's heart - breaking defeat .	0	0	1	0	
Tyler Zeller converted a buzzer - beater under the hoop to give Boston the win .	0	1	0	0	
Gordon Hayward hit the go - ahead shot with one second remaining , but Boston would have the last laugh .	0	1	0	0	
The Celtics led 81 - 73 with just under 2:30 to play , but the Jazz battled back with contributions from Trey Burke , Gordon Hayward , and Rodney Hood to force the game to be decided on the last possession .	0	1	0	0	
The Boston Celtics ( 24 - 35 ) held on in a nail - biter Wednesday to defeat the Utah Jazz ( 24 - 36 ) 85 - 84 at the TD_Garden .	1	1	0	0	
Boston will take Saturday off before hosting the Golden_State Warriors on Sunday , and Charlotte will wrap up their four - game road trip Sunday against the Orlando Magic .	0	0	1	0	
30 for a game that could lead to one team making the playoffs and the other team going to the lottery .	0	0	1	0	
Charlotte owns the season series with Boston , holding a 2 - 1 lead after Friday 's game , and they 'll meet on Mar .	0	0	1	0	
He finished with 12 points and 11 rebounds in 32 minutes .	1	0	0	0	
Michael Kidd-Gilchrist continued his inspired play of late , posting a second straight double - double and a fourth straight game scoring in double digits .	0	0	1	0	
All five starters scored in double digits for the Hornets , and Mo Williams put in a game - high 31 points , but their good work shooting the from the field could n't make up for their inability to protect the ball .	0	1	0	0	
Jonas Jerebko back Thomas ' play , putting up his first double - double as a member of the Celtics with 16 points and 10 rebounds in 24 minutes off the bench .	1	1	1	0	
Isaiah Thomas lead the Celtics ' attack on offense , posting 28 points and seven assists in 31 minutes off the bench .	1	1	0	0	
The Celtics scored 21 points off 16 turnovers but gave up only eight points on eight turnovers .	1	0	0	0	
Boston took the win Friday by limiting their turnovers while capitalizing on the Hornets ' inability to do so .	0	1	0	0	
All five teams sit within a game of each other in the standings .	0	0	1	0	
Both teams are fighting for the final playoff spot in the East , but they also have competitions from the Pacers , Nets and Pistons .	0	1	1	0	
The Boston Celtics ( 23 - 33 ) defeated the Charlotte Hornets ( 23 - 33 ) 106 - 98 Friday .	1	1	0	0	
The Celtics go into the break on a high note and will resume play with a three - game road swing starting in Sacramento on Feb. 20 .	0	0	1	0	
Avery Bradley hit a three - pointer to bring Boston within one point with just under two minutes to go .	0	1	0	0	
Jared Sullinger shook off a rough first half to finish the night with 17 points and 15 rebounds .	1	1	0	0	
Boston was able to overcome a 32 percent shooting performance on the night as the Celtics got several great fourth quarter showings .	0	1	0	0	
The Hawks have a tough stretch awaiting on the other side of the break with the Raptors , Bucks , and Mavericks on the slate .	0	0	1	0	
Every starter except for Al Horford had poor nights shooting , highlighted by Jeff Teague 's 4 - for - 12 performance and Paul Millsap 's 3 - for - 11 outing .	0	1	0	0	
Atlanta seemed poised to enter the All-Star break on a two game winning streak , but was unable to close out Boston .	0	1	1	0	
Boston called on Evan Turner on inbounds play with six seconds left and Turner hit a floater to give the Celtics the lead with under a second remaining .	0	1	0	0	
However , the Celtics made an unbelievable push to storm back .	0	1	0	0	
When Atlanta 's Mike Scott jammed an alley oop home to put the Hawks up 79 - 65 in the fourth , it looked like this was going to be another easy win for the top team in the East .	0	1	1	0	
The Boston Celtics ( 20 - 31 ) made an unbelievable comeback to defeat the top - seeded Atlanta Hawks ( 43 - 10 ) 89 - 88 on Wednesday at the TD_Garden .	1	1	0	0	
The Celtics ' next game will be at home against the Atlanta Hawks on Wednesday , while the Pelicans will be on the road against the Detroit Pistons on Wednesday .	0	0	1	0	
He chipped in with 19 points ( 7 - 15 FG , 1 - 3 3Pt , 4 - 6 FT ) and eight rebounds , playing just under 35 minutes because Jrue Holiday was forced from the game after only 15 minutes with a right ankle injury .	1	1	0	0	
Coming off the bench with Gordon back in the starting lineup , Tyreke Evans still had a strong showing .	0	1	0	0	
It was a season - high in points for him , as he 's dealt with injuries for a large portion of the year .	0	0	1	0	
Eric Gordon had arguably his best game of the season , going 7 - for - 12 from the field and 3 - for - 5 from the three - point line to score 21 points .	1	0	1	0	
He 's had the hot hand lately , averaging 29 points and 10 rebounds per game over his last three outings .	0	0	1	0	
He was able to get to the line at will in this game , converting on 14 - of - 15 free throws .	1	1	0	0	
Davis went 10 - for - 23 from the floor to score 34 points , while also adding nine rebounds and three blocked shots .	1	0	0	0	
Despite the loss , the Pelicans received another huge performance from Anthony Davis .	0	1	0	0	
Both Avery Bradley and Evan Turner also reached double figures with 10 points apiece .	0	1	0	0	
Marcus Thornton had 13 points ( 2 - 8 FG , 1 - 3 3Pt , 8 - 9 FT ) in only 14 minutes , while Brandon Bass had 12 points ( 4 - 10 FG , 1 - 2 3Pt , 3 - 3 FT ) in 23 minutes .	1	0	0	0	
The Celtics did receive plenty of help from their bench as well .	0	1	0	0	
While the 22 points were a season - high for him , so were the blocks and steals , as he was a huge contributor on both the offensive and defensive side of the ball Monday .	0	1	1	0	
Crowder on the other hand posted 22 points ( 9 - 14 FG , 2 - 4 3Pt , 2 - 2 FT ) , three assists , four steals and two blocks .	1	0	0	0	
The 27 points were a season - high for him , while it marked his second double - double in as many games .	0	0	1	0	
Sullinger led the team , scoring 27 points ( 9 - 17 FG , 1 - 4 3Pt , 8 - 9 FT ) and grabbing 10 rebounds in 32 minutes .	1	1	0	0	
The Celtics received most of their production from their forward position , as Jae Crowder and Jared Sullinger both had strong performances .	0	1	0	0	
The Celtics forced the Pelicans into 18 turnovers , while committing only 11 of their own , which may have been the difference in this game .	1	0	0	0	
With a huge fourth quarter though , where the Celtics out - scored the Pelicans 36 - 24 , they were able to secure the eight point victory at home in front of their home crowd .	0	1	0	0	
After coming out of the third quarter down 76 - 72 , the Celtics did n't look to be in the best of positions .	0	1	0	0	
The Boston Celtics ( 13 - 23 ) defeated the New_Orleans Pelicans ( 18 - 19 ) 108 - 100 on Monday at the TD_Garden in Boston .	1	1	0	0	
The Nets ' next game is Saturday on the road against the Detroit Pistons , while the Celtics will also go on the road Saturday and play the Houston Rockets .	0	0	1	0	
Sullinger , who had an impressive preseason , finished with 13 points , four rebounds , two assists , and a pair of blocks .	1	0	1	0	
Returning early from hand surgery , Rajon Rondo scored 13 points and dished out 12 assists .	1	1	0	0	
Jeff Green started at small forward and contributed 17 points , six rebounds , three assists , and two steals .	1	0	0	0	
Kelly Olynyk had the highest scoring output with 19 points , and he also put up six rebounds , two assists , and a steal in 28 minutes of action .	1	1	0	0	
All five starters finished in double figures for the Celtics , along with three bench players as well .	0	1	0	0	
Veteran Kevin Garnett began his 19th year in the league and finished with 10 points and six rebounds .	1	0	1	0	
Starting at small forward , Joe Johnson matched Williams with 19 points and also contributed six rebounds , three assists , and a steal .	1	1	0	0	
Deron Williams was n't far behind , and he finished with 19 points , three rebounds , eight assists , and two steals .	1	1	0	0	
The Nets were led by Mirza Teletovic as he finished with 20 points ( 8 - 11 FG , 4 - 6 3Pt ) , six rebounds , one assist , and a pair of blocked shots coming off the bench .	1	1	0	0	
The Celtics were also able to force the Nets into 21 turnovers , which contributed to the team pushing past the 120 - point benchmark for the game .	1	1	0	0	
The Celtics finished the game shooting 56 percent from the field and 36 percent from behind the three - point line , while the Nets shot 49 percent from the field and 37 percent from behind the arc .	1	0	0	0	
The Boston Celtics ( 10 ) defeated the Brooklyn Nets ( 0 - 1 ) 121 - 105 in impressive fasion Wednesday at the TD_Garden in Boston .	1	1	0	0	
This marks the final regular season game for both teams , but each will head into the playoffs which start this weekend .	0	0	1	0	
Seraphin recorded 12 points ( 6 - 13 FG , 0 - 1 FT ) , 12 rebounds and three blocked shots , while Sessions added 14 points ( 4 - 8 FG , 2 - 2 3Pt , 4 - 6 FT ) and six assists .	1	0	0	0	
Both Kevin Seraphin and Ramon Sessions reached double figures in points as well .	0	1	0	0	
It was a nice end to the season for Butler , who finishes the year with averages of 8 points and 3 rebounds over 74 games .	0	0	1	0	
