out_type,raw
waveSigHeight,waveSigHeight 4.5-5.0 RISING AROUND  8.0 OVERNIGHT
waveMaxHeight,waveMaxHeight 7.5-8.0 RISING AROUND 13.0 OVERNIGHT
wavePeriod,wavePeriod 7-11 BECOMING 10-14
wind10M,wind10M ENE 16-20 VEERING E AND RISING 30-34 TONIGHT
wind50M,wind50M ENE 20-25 VEERING E AND RISING 38-43 TONIGHT
waveSigHeight,waveSigHeight 2.5 RISING 3.5-4.0
waveMaxHeight,waveMaxHeight 4.0 RISING 5.5-6.5
wavePeriod,"wavePeriod SEA 4-5 RISING 6-8, SWELL 8-10"
wind10M,wind10M W-NW 22-28 WITH GUSTS TO 38 STEADILY BACKING SW 18-22
wind50M,wind50M W-NW 28-35 WITH GUSTS TO 45 STEADILY BACKING SW 22-28
waveSigHeight,waveSigHeight 2.5-3.0 BECOMING MAINLY 3.0
waveMaxHeight,waveMaxHeight 4.0-5.0 BECOMING MAINLY 5.0
wind10M,wind10M N'LY 22-28 GUSTS 38 DECREASING AND BACKING NW 12-18 BY END OF PERIOD
wind50M,wind50M N'LY 27-35 GUSTS 45 DECREASING AND BACKING NW 15-22 BY END OF PERIOD
waveSigHeight,waveSigHeight 3.0-3.5 GRADUALLY FALLING NEAR 2.0 BY END OF PERIOD
waveMaxHeight,waveMaxHeight 5.0-5.5 GRADUALLY FALLING NEAR 3.0 BY END OF PERIOD
wind10M,"wind10M N-NE 12-18 INCREASING 22-28 GUSTS 38 BY LATE EVENING, THEN NNE 25-30 GUSTS 40 BY MORNING"
wind50M,"wind50M N-NE 15-22 INCREASING 27-35 GUSTS 45 BY LATE EVENING, THEN NNE 32-38 GUSTS 48 BY MORNING"
waveSigHeight,waveSigHeight 3.0-3.5 RISING 3.5-4.0 FOR A TIME
waveMaxHeight,waveMaxHeight 5.0-5.5 RISING 5.5-6.5 FOR A TIME
wavePeriod,wavePeriod SEA: 4-5 RISING 5-7 SWELL: NNW-N 9-11
wind10M,wind10M NNW 10 OR LESS GRADUALLY BACKING S TONIGHT
wind50M,wind50M NNW 12 OR LESS GRADUALLY BACKING S TONIGHT
waveSigHeight,waveSigHeight 1.0-1.5 FALLING AROUND 1.0 LATER
waveMaxHeight,waveMaxHeight 1.5-2.5 FALLING AROUND 1.5 LATER
wavePeriod,"wavePeriod SEA 3, NNE SWELL 5-6"
wind10M,"wind10M S'LY 15-20 BACKING SSE 28-32 GUSTS 40 BY MIDNIGHT, VEERING SW 22-28 BY EARLY MORNING, THEN INCREASING SW 28-32 GUSTS 42 LATER"
wind50M,"wind50M S'LY 18-25 BACKING SSE 35-40 GUSTS 50 BY MIDNIGHT, VEERING SW 27-35 BY EARLY MORNING, THEN INCREASING SW 35-40 GUSTS 52 LATER"
waveSigHeight,waveSigHeight AROUND 1.5 RISING 3.0-3.5 BY END OF PERIOD
waveMaxHeight,waveMaxHeight AROUND 2.5 RISING 5.0-5.5 BY END OF PERIOD
wind10M,wind10M SW 20-24 VEERING WSW THIS EVENING THEN BACKING SSW 14-18 LATER IN THE NIGHT
wind50M,wind50M SW 25-30 VEERING WSW THIS EVENING THEN BACKING SSW 18-23 LATER IN THE NIGHT
wavePeriod,"wavePeriod SEA 4-6, SWELL 10"
wind10M,wind10M NW 18-24 GRADUALLY BACKING/EASING WNW 10-15
wind50M,wind50M NW 22-30 GRADUALLY BACKING/EASING WNW 12-18
waveSigHeight,waveSigHeight 3.0-3.5 GRADUALLY FALLING AROUND 2.5
waveMaxHeight,waveMaxHeight 5.0-5.5 GRADUALLY FALLING AROUND 4.0
wavePeriod,wavePeriod SEA: 4-6 FALLING 3-4 SWELL: 7-10
wind10M,wind10M E-ENE 15-20 DECREASING 06-10 BY MIDNIGHT
wind50M,wind50M E-ENE 18-25 DECREASING 07-12 BY MIDNIGHT
wavePeriod,wavePeriod SEA: 4-5 FALLING 2-3 SWELL: 6-7 NE-NNE
wind10M,"wind10M N-NE  8 OR LESS, BACKING N-NW OVERNIGHT"
wind50M,"wind50M N-NE 10 OR LESS, BACKING N-NW OVERNIGHT"
waveSigHeight,waveSigHeight AROUND 1.5 FALLING AROUND 1.0
waveMaxHeight,waveMaxHeight AROUND 2.5 FALLING AROUND 1.5
wind10M,wind10M NE 10-15 GRADUALLY VEERING/DECREASING E LESS THAN 08
wind50M,wind50M NE 12-18 GRADUALLY VEERING/DECREASING E LESS THAN 10
waveSigHeight,waveSigHeight AROUND 1.5 FALLING MAINLY NEAR 1.0
waveMaxHeight,waveMaxHeight AROUND 2.5 FALLING MAINLY NEAR 1.5
wavePeriod,wavePeriod MAINLY 5-7 W'LY SWELL
wind10M,"wind10M SE 22-26 RISING 28-32 FOR A TIME THEN EASING 16-20 LATE EVENING, VEERING S 20-24 LATER IN THE NIGHT"
wind50M,"wind50M SE 28-33 RISING 35-40 FOR A TIME THEN EASING 20-25 LATE EVENING, VEERING S 25-30 LATER IN THE NIGHT"
waveSigHeight,waveSigHeight 2.5 RISING 3.0-3.5
waveMaxHeight,waveMaxHeight 4.0 RISING 5.0-5.5
wind10M,wind10M NW 28-32 GUSTS 45 EASING GRADUALLY NW-N 22-28 GUSTS 40
wind50M,wind50M NW 35-40 GUSTS 55 EASING GRADUALLY NW-N 28-35 GUSTS 50
waveSigHeight,waveSigHeight 6.5--7.5 FALLING AROUND 6.0
waveMaxHeight,waveMaxHeight 10.5-12.0 FALLING AROUND 9.5
windconf,windconf LOW DUE TO UNCERTAINTY OVER EXACT TRACK OF FRONTAL WAVE AS IT PASSES TO THE NORTH OF THE AREA TONIGHT
wind10M,wind10M S'LY 20-25 SOON VEERING S-SW AND RISING SW 28-32 BY THIS EVENING WITH GUSTS TO 40. EASING 22-28 BY THE EARLY HOURS AND LATE IN PERIOD VEERING W'LY 12-18
wind50M,wind50M S'LY 25-32 SOON VEERING S-SW AND RISING SW 35-40 BY THIS EVENING WITH GUSTS TO 48. EASING 28-35 BY THE EARLY HOURS AND LATE IN PERIOD VEERING W'LY 15-22
waveconf,waveconf LOW - SEE WIND
waveSigHeight,waveSigHeight 3.5-4.5 WITH ATLANTIC SWELL BECOMING 4.5-5.5 FOR A TIME
waveMaxHeight,waveMaxHeight 5.5-7.0 WITH ATLANTIC SWELL BECOMING 7.0-8.5 FOR A TIME
wavePeriod,"wavePeriod 5-8 WIND WAVE, 9-11 SWELL"
wind10M,wind10M VARIABLE  8 OR LESS INCREASING ESE-ENE 12-15 OVERNIGHT
wind50M,wind50M VARIABLE 10 OR LESS INCREASING ESE-ENE 15-18 OVERNIGHT
waveSigHeight,waveSigHeight AROUND 2.5 FALLING 2.0
waveMaxHeight,waveMaxHeight AROUND 4.0 FALLING 3.0
wind10M,"wind10M N'LY 12-18 GUSTS 28 BACKING SSW 06-10 BY MIDNIGHT, THEN FRESHENING S'LY 15-20 LATER"
wind50M,"wind50M N'LY 15-22 GUSTS 32 BACKING SSW 07-12 BY MIDNIGHT, THEN FRESHENING S'LY 18-25 LATER"
waveSigHeight,waveSigHeight 1.5-2.0 FALLING MAINLY NEAR 1.5 FOR A TIME DURING THE EARLY MORNING
waveMaxHeight,waveMaxHeight 2.5-3.0 FALLING MAINLY NEAR 2.5 FOR A TIME DURING THE EARLY MORNING
wavePeriod,wavePeriod SEA: 3-5 SWELL: N'LY 6-8 AT FIRST
wind10M,wind10M NNE 15-20 GRADUALLY EASING AND LATER VEERING NE-E 08-12
wind50M,wind50M NNE 18-25 GRADUALLY EASING AND LATER VEERING NE-E 10-15
waveSigHeight,waveSigHeight AROUND 3.0 GRADUALLY FALLING 2.0-2.5 OVERNIGHT
waveMaxHeight,waveMaxHeight AROUND 5.0 GRADUALLY FALLING 3.0-4.0 OVERNIGHT
wavePeriod,wavePeriod MAINLY 8-10 N'LY SWELL
wind10M,wind10M SSE 10-14 RISING 16-20 THIS EVENING
wind50M,wind50M SSE 12-18 RISING 20-25 THIS EVENING
waveSigHeight,waveSigHeight 0.5-1.0 SLOWLY RISING 1.0-1.5
waveMaxHeight,waveMaxHeight 1.0-1.5 SLOWLY RISING 1.5-2.5
wavePeriod,"wavePeriod SEA 3-4 RISING 4-5, SWELL 6"
wind10M,wind10M W-WSW 22-28 GUSTS 38 GRADUALLY BACKING/DECREASING SW 15-20 BY MORNING
wind50M,wind50M W-WSW 27-35 GUSTS 45 GRADUALLY BACKING/DECREASING SW 18-25 BY MORNING
waveSigHeight,waveSigHeight 3.5-4.0 FALLING 2.0-2.5 BY MORNING
waveMaxHeight,waveMaxHeight 5.5-6.5 FALLING 3.0-4.0 BY MORNING
wavePeriod,wavePeriod SEA: 5-7 FALLING 4-5 SWELL: 8-10
wind10M,"wind10M SSW 20-24 BACKING S 14-18 THEN BACKING E 30-34 FOR A TIME AFTER MIDNIGHT, EASING 18-22 BY 0600"
wind50M,"wind50M SSW 25-30 BACKING S 18-23 THEN BACKING E 38-43 FOR A TIME AFTER MIDNIGHT, EASING 23-28 BY 0600"
waveSigHeight,waveSigHeight 3.0-3.5 FALLING 2.5-3.0 FOR A TIME THEN RISING 3.0-4.0 LATER
waveMaxHeight,waveMaxHeight 5.0-5.5 FALLING 4.0-5.0 FOR A TIME THEN RISING 5.0-6.5 LATER
wavePeriod,"wavePeriod SEA 5-7, W SWELL 10 AT FIRST"
wind10M,wind10M NW  8 OR LESS GRADUALLY VEERING N-NE
wind50M,wind50M NW 10 OR LESS GRADUALLY VEERING N-NE
wind10M,wind10M W-SW LESS THAN 10 GRADUALLY BACKING/FRESHENING SSW 14-18
wind50M,wind50M W-SW LESS THAN 12 GRADUALLY BACKING/FRESHENING SSW 17-22
waveSigHeight,waveSigHeight 2.0 GRADUALLY FALLING AROUND 1.5
waveMaxHeight,waveMaxHeight 3.0 GRADUALLY FALLING AROUND 2.5
wind10M,wind10M SW 6-10 INCREASING 12-16 OVERNIGHT
wind50M,wind50M SW 6-12 INCREASING 15-20 OVERNIGHT
waveMaxHeight,waveMaxHeight 1.5-2.5 RISING AROUND 2.5
wind10M,wind10M NW-N  8 OR LESS INCREASING N-NE 12-16 OVERNIGHT
wind50M,wind50M NW-N 10 OR LESS INCREASING N-NE 15-20 OVERNIGHT
waveSigHeight,waveSigHeight 0.5-1.0 RISING 1.0-1.5
waveMaxHeight,waveMaxHeight 1.0-1.5 RISING 1.5-2.5
wind10M,"wind10M SE-SSE 12-16 RISING 16-20 THIS AFTERNOON, RISING 20-24 AT TIMES TONIGHT"
wind50M,"wind50M SE-SSE 15-20 RISING 20-25 THIS AFTERNOON, RISING 25-30 AT TIMES TONIGHT"
waveSigHeight,"waveSigHeight 2.0-2.5 RISING 3.0-3.5 SSE SWELL THIS EVENING, LOCALLY 3.5-4.0 FOR A TIME"
waveMaxHeight,"waveMaxHeight 3.0-4.0 RISING 5.0-5.5 SSE SWELL THIS EVENING, LOCALLY 5.5-6.5 FOR A TIME"
wavePeriod,"wavePeriod SEA 4-6, SSE SWELL 8-9"
wind10M,wind10M N-NW 22-28 GUSTS 40
wind50M,wind50M N-NW 28-35 GUSTS 48
waveSigHeight,waveSigHeight AROUND 6.0 FALLINGA ROUND 5.0
waveMaxHeight,waveMaxHeight AROUND 9.5 FALLING AROUND 8.0
wind10M,"wind10M SE 18-22 RISING 22-26 AT TIMES, EASING 14-18 LATER IN THE PERIOD"
wind50M,"wind50M SE 23-28 RISING 28-33 AT TIMES, EASING 18-23 LATER IN THE PERIOD"
waveSigHeight,waveSigHeight 3.0-3.5 RISING 3.5-4.0 FOR A TIME THEN FALLING 3.0 LATER IN THE PERIOD
waveMaxHeight,waveMaxHeight 5.0-5.5 RISING 5.5-6.5 FOR A TIME THEN FALLING 5.0 LATER IN THE PERIOD
wavePeriod,"wavePeriod SEA 4-6, SE SWELL 8-9"
wind10M,wind10M W-SW 18-22 BACKING SW 15-20 FOR A TIME. LATER 20-25 WITH GUSTS TO 35
wind50M,wind50M W-SW 22-28 BACKING SW 20-25 FOR A TIME. LATER 25-32 WITH GUSTS TO 42
waveSigHeight,waveSigHeight 3.5-4.5 WITH SWELL DECREASING TO 3.0-3.5
waveMaxHeight,waveMaxHeight 5.5-7.0 WITH SWELL DECREASING TO 5.0-5.5
wavePeriod,"wavePeriod 5-7 WIND WAVE, 9-11 SWELL"
wind10M,wind10M E-NE 10-15 EASING E-SE  8-12
wind50M,wind50M E-NE 12-18 EASING E-SE 10-15
wind10M,wind10M SSE 10-15 STEADILY INCREASING 32-36 GUSTS 45 BY MORNING
wind50M,wind50M SSE 12-18 STEADILY INCREASING 40-45 GUSTS 55 BY MORNING
waveSigHeight,waveSigHeight 1.5-2.0 RISING 4.0-5.0 BY MORNING
waveMaxHeight,waveMaxHeight 2.5-3.0 RISING 6.5-8.0 BY MORNING
wavePeriod,wavePeriod SEA: 2-4 RISING 6-8 SWELL: 7-9
wind10M,wind10M S'LY 08-12 GRADUALLY VEERING/FRESHENING SW 18-22 BY MORNING
wind50M,wind50M S'LY 10-15 GRADUALLY VEERING/FRESHENING SW 22-28 BY MORNING
waveSigHeight,waveSigHeight AROUND 1.5 GRADUALLY RISING 1.5-2.0
waveMaxHeight,waveMaxHeight AROUND 2.5 GRADUALLY RISING 2.5-3.0
wavePeriod,wavePeriod SEA: 3-4 RISING 4-5 SWELL: 6-8
windconf,windconf LOW DUE TO LOW CENTRE OVER THE AREA
wind10M,wind10M SSE 26-30 BECOMING CYCLONIC 15 THIS EVENING THEN BECOMING NNW AND RISING 30-34 GUSTS 45 LATER
wind50M,wind50M SSE 33-38 BECOMING CYCLONIC 20 THIS EVENING THEN BECOMING NNW AND RISING 38-43 GUSTS 55 LATER
waveSigHeight,waveSigHeight 4.0-5.0 FALLING 3.5-4.0
waveMaxHeight,waveMaxHeight 6.5-8.0 FALLING 5.5-6.5
wind10M,wind10M N-NE  8 OR LESS
wind50M,wind50M N-NE 10 OR LESS
wind10M,wind10M S-SW 18-22
wind50M,wind50M S-SW 22-28
waveSigHeight,waveSigHeight AROUND 2.5 OCCASIONALLY 2.5-3.0
waveMaxHeight,waveMaxHeight AROUND 4.0 OCCASIONALLY 4.0-5.0
wind10M,wind10M NW 12-16 GRADUALLY EASING 06-10 BY END OF PERIOD
wind50M,wind50M NW 15-20 GRADUALLY EASING 07-12 BY END OF PERIOD
waveSigHeight,waveSigHeight AROUND 2.0 GRADUALLY RISING 2.0-2.5
waveMaxHeight,waveMaxHeight AROUND 3.0 GRADUALLY RISING 3.0-4.0
wavePeriod,wavePeriod SEA: 2-4 SWELL: 7-9 N'LY
wind10M,wind10M W-SW 10-15 GRADUALLY VEERING NW-N 15-18
wind50M,wind50M W-SW 12-18 GRADUALLY VEERING NW-N 18-22
waveSigHeight,waveSigHeight AROUND 1.5 RISING AROUND 2.0
waveMaxHeight,waveMaxHeight AROUND 2.5 RISING AROUND 3.0
wind10M,wind10M NE 10-14 BACKING N 20-24 GUSTS 32 THIS EVENING
wind50M,wind50M NE 12-18 BACKING N 25-30 GUSTS 40 THIS EVENING
waveSigHeight,waveSigHeight 2.0 RISING 2.5-3.0
waveMaxHeight,waveMaxHeight 3.0 RISING 4.0-5.0
wavePeriod,"wavePeriod SEA 3-4 RISING 5-6, SWELL 10 BECOMING 8"
wind10M,wind10M N-NNE 12-18
wind50M,wind50M N-NNE 15-22
waveSigHeight,waveSigHeight AROUND 1.0 RISING 1.0-1.5
waveMaxHeight,waveMaxHeight AROUND 1.5 RISING 1.5-2.5
wind10M,"wind10M S-SE  8-12 GUSTS 25 IN SHOWERS, EASING  8 OR LESS"
wind50M,"wind50M S-SE 10-15 GUSTS 30 IN SHOWERS, EASING 10 OR LESS"
waveSigHeight,waveSigHeight 2.5-3.0 FALLING 2.0-2.5
waveMaxHeight,waveMaxHeight 4.0-5.0 FALLING 3.0-4.0
wind10M,wind10M SSE 12-16 VEERING SSW TONIGHT
wind50M,wind50M SSE 15-20 VEERING SSW TONIGHT
waveSigHeight,waveSigHeight 2.0-2.5 FALLING 1.5-2.0
waveMaxHeight,waveMaxHeight 3.0-4.0 FALLING 2.5-3.0
wavePeriod,"wavePeriod SEA 3-4, SSE SWELL 7-8"
wind10M,wind10M SW 18-22 BACKING SW-S
wind50M,wind50M SW 22-28 BACKING SW-S
waveSigHeight,waveSigHeight AROUND 2.5 RISING 2.5-3.0
waveMaxHeight,waveMaxHeight AROUND 4.0 RISING 4.0-5.0
wind10M,wind10M SE 10-15 GRADUALLY INCREASING SE-S 22-26 OVERNIGHT
wind50M,wind50M SE 12-18 GRADUALLY INCREASING SE-S 28-32 OVERNIGHT
waveSigHeight,"waveSigHeight 1.5-2.0 FALLING 1.0-1.5 FOR A TIME, RISING 2.0-2.5 LATER"
waveMaxHeight,"waveMaxHeight 2.5-3.0 FALLING 1.5-2.5 FOR A TIME, RISING 3.0-4.0 LATER"
wind10M,"wind10M NE 10-15 BACKING NNE-N 14-18 THIS EVENING, THEN NNW 10-15 LATER"
wind50M,"wind50M NE 12-18 BACKING NNE-N 17-22 THIS EVENING, THEN NNW 12-18 LATER"
waveSigHeight,waveSigHeight AROUND 2.0 GRADUALLY FALLING 1.0-1.5
waveMaxHeight,waveMaxHeight AROUND 3.0 GRADUALLY FALLING 1.5-2.5
wavePeriod,wavePeriod SEA: 4-5 SWELL: 6-8
wind10M,wind10M SW-W 12-18 VEEIRNG AND INCREASING NW-N 18-22 OVERNIGHT
wind50M,wind50M SW-W 15-22 VEEIRNG AND INCREASING NW-N 22-28 OVERNIGHT
wind10M,"wind10M SSW 08-12 BACKING S-SSE LESS THAN 08 SOON, THIS EVENING VEERING SSW, THEN SW BY MORNING"
wind50M,"wind50M SSW 10-15 BACKING S-SSE LESS THAN 10 SOON, THIS EVENING VEERING SSW, THEN SW BY MORNING"
waveSigHeight,waveSigHeight 1.0-1.5 FALLING MAINLY NEAR 1.0 BY MIDNIGHT
waveMaxHeight,waveMaxHeight 1.5-2.5 FALLING MAINLY NEAR 1.5 BY MIDNIGHT
wavePeriod,wavePeriod SEA: 1-4 SWELL: 6-7
wind10M,wind10M N 22-26 RISING STEADILY TO 40-45 GUSTS 60 BY LATE EVENING
wind50M,wind50M N 28-33 RISING STEADILY TO 50-55 GUSTS 70 BY LATE EVENING
waveSigHeight,waveSigHeight 4.0 RISING 7.0-9.0
waveMaxHeight,waveMaxHeight 6.4 RISING 11.0-14.5
wavePeriod,wavePeriod 8-10 RISING 10-12
wavePeriod,wavePeriod 7-9 SEC SEA 10-14 SEC SWELL
wind10M,wind10M N-NE 12-16
wind50M,wind50M N-NE 15-20
wind10M,wind10M N 8-12 VEERING NE THIS EVENING
wind50M,wind50M N 10-15 VEERING NE THIS EVENING
waveSigHeight,waveSigHeight 1.5-2.0 RISING 2.5-3.0 N SWELL LATER
waveMaxHeight,waveMaxHeight 2.5-3.0 RISING 4.0-5.0 N SWELL LATER
wavePeriod,"wavePeriod SEA 3-4, SWELL 7 BECOMING 8-9"
wind10M,"wind10M N-NE 18-22 INCREASING N 22-26 FOR A TIME DURING THE EVENING, EASING N 15-18 OVERNIGHT"
wind50M,"wind50M N-NE 22-28 INCREASING N 28-32 FOR A TIME DURING THE EVENING, EAISNG N 18-22 OVERNIGHT"
waveSigHeight,waveSigHeight 1.5-2.0 RISING 2.5-3.0 FOR A TIME LATER FALLING AROUND 2.0
waveMaxHeight,waveMaxHeight 2.5-3.0 RISING 4.0-5.0 FOR A TIME LATER FALLING AROUND 3.0
wind10M,"wind10M S-SE  8 OR LESS, GUSTS 18 IN SHOWERS, INCREASING S 10-15 LATER"
wind50M,"wind50M S-SE 10 OR LESS, GUSTS 22 IN SHOWERS, INCREASING S 12-18 LATER"
waveSigHeight,waveSigHeight AROUND 2.5 FALLING AROUND 2.0
waveMaxHeight,waveMaxHeight AROUND 4.0 FALLING AROUND 3.0
wind10M,"wind10M W-SW 22-28 INCREASING SW 30-35 BY EVENING, VEERING W-WNW 25-30 OVERNIGHT"
wind50M,"wind50M W-SW 28-35 INCREASING SW 38-45 BY EVENING, VEERING W-WNW 30-38 OVERNIGHT"
waveSigHeight,waveSigHeight 2.5-3.0 CONFUSED SEA/SWELL RISING AROUND 4.0
waveMaxHeight,waveMaxHeight 4.0-5.0 CONFUSED SEA/SWELL RISING AROUND 6.5
wind10M,wind10M SSW-SW 20-25 GRADUALLY BACKING/FRESHENING SSW 22-28
wind50M,wind50M SSW-SW 25-32 GRADUALLY BACKING/FRESHENING SSW 27-35
waveSigHeight,waveSigHeight 2.5-3.0 GRADUALLY RISING 3.0-3.5
waveMaxHeight,waveMaxHeight 4.0-5.0 GRADUALLY RISING 5.0-5.5
wind10M,wind10M S-SE 18-22 INCREASING 22-28 OVERNIGHT
wind50M,wind50M S-SE 22-28 INCREASING 28-35 OVERNIGHT
waveSigHeight,waveSigHeight 1.5-2.0 RISING 2.5-3.0
wind10M,wind10M SE 20-25 EASING AND BACKING SE-E 15-20 OVERNIGHT
wind50M,wind50M SE 25-30 EASING AND BACKING SE-E 18-25 OVERNIGHT
wind10M,"wind10M SW-SSW 08-12 FRESHENING SSW 14-18 THIS EVENING, VEERING SW 08-12 LATER"
wind50M,"wind50M SW-SSW 10-15 FRESHENING SSW 17-22 THIS EVENING, VEERING SW 10-15 LATER"
waveSigHeight,waveSigHeight AROUND 1.5 FALLING 1.0-1.5 LATER
waveMaxHeight,waveMaxHeight AROUND 2.5 FALLING 1.5-2.5 LATER
wavePeriod,wavePeriod SEA: 3-4 RISING 4-5 FOR A TIME SWELL: 7-8
wind10M,wind10M N-NNW 20-25 INCREASING 25-30 GUSTS 40
wind50M,wind50M N-NNW 25-30 INCREASING 30-38 GUSTS 50
waveSigHeight,waveSigHeight AROUND 3.0 RISING 4.0-4.5
waveMaxHeight,waveMaxHeight AROUND 5.0 RISING 6.5-7.5
wind10M,wind10M S'LY 08-12 VEERING SSW LATER
wind50M,wind50M S'LY 10-15 VEERING SSW LATER
wavePeriod,wavePeriod MAINLY 5-7 S'LY SWELL
wind10M,wind10M VARIABLE LESS THAN 08 FRESHENING NW 08-12 LATER
wind50M,wind50M VARIABLE LESS THAN 10 FRESHENING NW 10-15 LATER
wavePeriod,wavePeriod SEA: 1-4 SWELL: 7-9
wind10M,wind10M SSW 20-24 DECREASING 16-20 LATER IN THE PERIOD
wind50M,wind50M SSW 25-30 DECREASING 20-25 LATER IN THE PERIOD
waveSigHeight,waveSigHeight 2.5-3.0 OCCASIONALLY 3.0-3.5 AT FIRST
waveMaxHeight,waveMaxHeight 4.0-5.0 OCCASIONALLY 5.0-5.5 AT FIRST
wavePeriod,"wavePeriod SEA 4-6, WSW SWELL 9-10"
wind10M,wind10M NNE 06-12 BACKING NNW-NW LESS THAN 08 BY MIDNIGHT
wind50M,wind50M NNE 07-15 BACKING NNW-NW LESS THAN 10 BY MIDNIGHT
waveSigHeight,waveSigHeight 1.0-1.5 FALLING MAINLY NEAR 1.0 LATER
waveMaxHeight,waveMaxHeight 1.5-2.5 FALLING MAINLY NEAR 1.5 LATER
wavePeriod,wavePeriod MAINLY 7-8 NNW SWELL
wind10M,wind10M N 10-15 INCREASING N-NE 15-18 OVERNIGHT
wind50M,wind50M N 12-18 INCREASING N-NE 18-22 OVERNIGHT
wind10M,"wind10M NE 18-22 GUSTS 30 IN SHOWERS, BACKING N THIS EVENING"
wind50M,"wind50M NE 23-28 GUSTS 38 IN SHOWERS, BACKING N THIS EVENING"
waveSigHeight,waveSigHeight 2.5-3.0 LOCALLY 3.0-3.5 LATER
waveMaxHeight,waveMaxHeight 4.0-5.0 LOCALLY 5.0-5.5 LATER
wavePeriod,"wavePeriod SEA 4-6, SWELL 8-9"
wind10M,wind10M N-NNE 10-15
wind10M,wind10M S-SE 12-18 INCEASING GRADUALLY 30-35 GUSTS 48
wind50M,wind50M S-SE 15-22 INCEASING GRADUALLY 38-45 GUSTS 58
waveSigHeight,waveSigHeight 1.5-2.0 RISING 4.0-4.5 OVERNIGHT
waveMaxHeight,waveMaxHeight 2.5-3.0 RISING 6.5-7.5 OVERNIGHT
wind10M,"wind10M W-NW 22-28 GUSTS 38 EASING 6-12 OVERNIGHT, BACKING W-SW LATER"
wind50M,"wind50M W-NW 28-35 GUSTS 45 EASING 8-15 OVERNIGHT, BACKING W-SW LATER"
waveSigHeight,waveSigHeight 4.0-5.0 FALLING AROUND 4.0
waveMaxHeight,waveMaxHeight 6.5-8.0 FALLING AROUND 6.5
wind10M,wind10M S-SE 25-30 GUSTS 40 VEERING AND EASING S-SW 15-20 OVERNIGHT
wind50M,wind50M S-SE 30-38 GUSTS 50 VEERING AND EASING S-SW 18-25 OVERNIGHT
waveSigHeight,waveSigHeight 4.0-4.5 FALLING AROUND 3.5
waveMaxHeight,waveMaxHeight 6.5-7.5 FALLING AROUND 5.5
wind10M,wind10M S-SSE 25-30 EASING GRADUALLY S-SW 10-15 OVERNIGHT
wind50M,wind50M S-SSE 30-38 EASING GRADUALLY S-SW 12-18 OVERNIGHT
waveMaxHeight,waveMaxHeight 5.0-6.5 FALLING 4.0-5.0
wind10M,"wind10M NW-WNW 15-20, VEERING NW-N OVERNIGHT"
wind50M,"wind50M NW-WNW 18-25, VEERING NW-N OVERNIGHT"
waveSigHeight,waveSigHeight AROUND 3.5 FALLING 2.5-3.0
waveMaxHeight,waveMaxHeight AROUND 5.5 FALLING 4.0-5.0
wind10M,"wind10M NNE 10-15 BACKING W'LY 22-28 GUSTS 38 BY EARLY MORNING, EASING SW 20-25 LATER"
wind50M,"wind50M NNE 12-18 BACKING W'LY 27-35 GUSTS 45 BY EARLY MORNING, EASING SW 25-32 LATER"
waveSigHeight,"waveSigHeight 1.0-1.5 RISING AROUND 2.0 BY EARLY MORNING, FALLING 1.5-2.0 LATER"
waveMaxHeight,"waveMaxHeight 1.5-2.5 RISING AROUND 3.0 BY EARLY MORNING, FALLING 2.5-3.0 LATER"
wavePeriod,wavePeriod SEA: 2-4 RISING 5-6 SWELL: 6-8
wind10M,wind10M N'LY 10-14 BACKING NNW
wind50M,wind50M N'LY 12-18 BACKING NNW
waveSigHeight,waveSigHeight AROUND 1.0 RISING NEAR 1.5 BY MORNING WITH NNW SWELL
waveMaxHeight,waveMaxHeight AROUND 1.5 RISING NEAR 2.5 BY MORNING WITH NNW SWELL
wavePeriod,wavePeriod SEA: 3-4 SWELL: 8-10
wind10M,wind10M SSW 12-16 BACKING S 8-12 THIS EVENING
wind50M,wind50M SSW 15-20 BACKING S 10-15 THIS EVENING
waveSigHeight,waveSigHeight 2.0-2.5 SWELL
waveMaxHeight,waveMaxHeight 3.0-4.0 SWELL
wavePeriod,"wavePeriod SEA 3-4, SWELL 10-11"
wind10M,wind10M N-NE  8-12
wind50M,wind50M N-NE 10-15
wind10M,wind10M N-NE 20-25 SLOWLY EASING 18-22
wind50M,wind50M N-NE 25-32 SLOWLY EASING 22-28
wind10M,wind10M NE 14-18 DECREASING 10-14 LATER TONIGHT
wind50M,wind50M NE 18-23 DECREASING 12-18 LATER TONIGHT
waveSigHeight,"waveSigHeight 2.0-2.5 LOCALLY 2.5-3.0 AT FIRST, FALLING 1.5-2.0"
waveMaxHeight,"waveMaxHeight 3.0-4.0 LOCALLY 4.0-5.0 AT FIRST, FALLING 2.5-3.0"
wavePeriod,"wavePeriod SEA 4-5, SWELL 8"
wind10M,wind10M SE-S 12-18 GRADUALLY VEERING AND LATER EASING SW 6-10
wind50M,wind50M SE-S 15-22 GRADUALLY VEERING AND LATER EASING SW 8-12
waveSigHeight,waveSigHeight 1.0-1.5 RISING AROUND 1.5 FOR A TIME
waveMaxHeight,waveMaxHeight 1.5-2.5 RISING AROUND 2.5 FOR A TIME
wind10M,wind10M SE 25-30 VEERING AND EASING SE-S 15-20 OVERNIGHT
wind50M,wind50M SE 30-38 VEERING AND EASING SE-S 18-25 OVERNIGHT
